,Sample,Compound,APE,Plasma_Glutamine_APE,Condition,FC_Gln_Substrate,Tissue
49,5,proline,0.002050396177059777,0.06733278000347986,Sedentary,0.030451678617068968,liver
50,6,proline,0.0012367235095591127,0.07230068379896054,Exercise,0.017105280954160116,liver
51,7,proline,0.0015047885066291958,0.10979942568510855,Sedentary,0.013704885041427693,liver
52,8,proline,0.0007468649405532197,0.06888971763403963,Exercise,0.010841457422147722,liver
53,9,proline,0.0012398771134772724,0.07486253314563235,Sedentary,0.016562051287595386,liver
54,10,proline,0.0015014432974411174,0.06796373840095314,Exercise,0.022091829154295913,liver
55,11,proline,0.0011243804220747954,0.09491749002750353,Sedentary,0.011845871838256491,liver
56,12,proline,0.0013286480495044621,0.12044116634955242,Exercise,0.01103151098394689,liver
57,13,proline,0.0019524792753712107,0.11075127173367383,Sedentary,0.017629407272779524,liver
58,14,proline,0.0011611782540595784,0.09901828859596734,Exercise,0.011726906923201144,liver
59,15,proline,0.002146052548243443,0.09203006205264677,Sedentary,0.023319038370481278,liver
60,1,succinate,0.009258010566637814,0.10346535695772785,Exercise,0.08947932756294745,liver
61,2,succinate,0.006304658161676652,0.07938803593591716,Sedentary,0.07941572161787498,liver
62,3,succinate,0.008052523561857164,0.1294206661597859,Exercise,0.062219765983241984,liver
63,4,succinate,0.006467274531304277,0.07726959114141162,Exercise,0.08369753787707343,liver
64,5,succinate,0.007292296196639918,0.06733278000347986,Sedentary,0.10830231866652529,liver
65,6,succinate,0.023580272599618812,0.07230068379896054,Exercise,0.3261417646503341,liver
66,7,succinate,0.013267249542321148,0.10979942568510855,Sedentary,0.12083168431472505,liver
67,8,succinate,0.0034008567106163486,0.06888971763403963,Exercise,0.049366680941887404,liver
68,9,succinate,0.0069431073974649295,0.07486253314563235,Sedentary,0.0927447563650871,liver
69,10,succinate,0.007135299929844273,0.06796373840095314,Exercise,0.10498686649267966,liver
70,11,succinate,0.0071366706254603045,0.09491749002750353,Sedentary,0.07518815155554961,liver
71,12,succinate,0.0143101164235351,0.12044116634955242,Exercise,0.11881416343979369,liver
72,13,succinate,0.00909710226941125,0.11075127173367383,Sedentary,0.0821399350725946,liver
73,14,succinate,0.0076516299944679985,0.09901828859596734,Exercise,0.07727491661353175,liver
74,15,succinate,0.007917604771336835,0.09203006205264677,Sedentary,0.08603280922278946,liver
0,1,a-ketoglutarate,0.025518444268359464,0.10346535695772785,Exercise,0.24663757047477605,quad
1,2,a-ketoglutarate,0.04015149912242174,0.07938803593591716,Sedentary,0.5057625956993375,quad
2,3,a-ketoglutarate,0.039075299366707804,0.1294206661597859,Exercise,0.30192472752739885,quad
3,4,a-ketoglutarate,0.0185985891810087,0.07726959114141162,Exercise,0.2406973934541894,quad
4,5,a-ketoglutarate,0.036913896768725675,0.06733278000347986,Sedentary,0.5482306948683525,quad
5,6,a-ketoglutarate,0.019904347695683094,0.07230068379896054,Exercise,0.27529957740135863,quad
6,7,a-ketoglutarate,0.06484408814285944,0.10979942568510855,Sedentary,0.5905685547830135,quad
7,8,a-ketoglutarate,0.037873878546421665,0.06888971763403963,Exercise,0.549775494038424,quad
8,9,a-ketoglutarate,0.016300404848440475,0.07486253314563235,Sedentary,0.21773782109043524,quad
9,10,a-ketoglutarate,0.033278408666038026,0.06796373840095314,Exercise,0.48964947263070685,quad
10,11,a-ketoglutarate,0.03634533756477156,0.09491749002750353,Sedentary,0.38291507238802924,quad
11,12,a-ketoglutarate,0.04053505855543642,0.12044116634955242,Exercise,0.33655484901061866,quad
12,13,a-ketoglutarate,0.03701553052858636,0.11075127173367383,Sedentary,0.3342221714401481,quad
13,14,a-ketoglutarate,0.032818239346028996,0.09901828859596734,Exercise,0.33143613984220655,quad
14,15,a-ketoglutarate,0.04346301252586694,0.09203006205264677,Sedentary,0.47226972965641884,quad
15,1,aspartate,0.003865746252136536,0.10346535695772785,Exercise,0.03736271120889225,quad
16,2,aspartate,0.007241505488597405,0.07938803593591716,Sedentary,0.09121658450453193,quad
17,3,aspartate,0.008674003330682198,0.1294206661597859,Exercise,0.06702177934993059,quad
18,4,aspartate,0.005815805161276876,0.07726959114141162,Exercise,0.07526641561533993,quad
19,5,aspartate,0.01054549992236594,0.06733278000347986,Sedentary,0.156617622528298,quad
20,6,aspartate,0.012255352853843157,0.07230068379896054,Exercise,0.16950535195379923,quad
21,7,aspartate,0.009505074076118822,0.10979942568510855,Sedentary,0.08656761195981319,quad
22,8,aspartate,0.006155637702794518,0.06888971763403963,Exercise,0.08935495621414637,quad
23,9,aspartate,0.0049274761387410855,0.07486253314563235,Sedentary,0.06582032335394686,quad
24,10,aspartate,0.007101790503582717,0.06796373840095314,Exercise,0.10449381788985168,quad
25,11,aspartate,0.00942270544625195,0.09491749002750353,Sedentary,0.09927259394998333,quad
26,12,aspartate,0.00449453377872262,0.12044116634955242,Exercise,0.03731725551111223,quad
27,13,aspartate,0.009910029611796066,0.11075127173367383,Sedentary,0.08948005252370325,quad
28,14,aspartate,0.00431369711221186,0.09901828859596734,Exercise,0.04356465026186628,quad
29,15,aspartate,0.01131134333533764,0.09203006205264677,Sedentary,0.12290922208513633,quad
30,1,malate,0.007761508508060068,0.10346535695772785,Exercise,0.07501552921941917,quad
31,2,malate,0.005404999329195154,0.07938803593591716,Sedentary,0.06808329826370974,quad
32,3,malate,0.007507662364558086,0.1294206661597859,Exercise,0.05800976449378605,quad
33,4,malate,0.004833634535885468,0.07726959114141162,Exercise,0.06255545635073181,quad
34,5,malate,0.008756882170472238,0.06733278000347986,Sedentary,0.13005377425408052,quad
35,6,malate,0.005468709237483663,0.07230068379896054,Exercise,0.0756384165423659,quad
36,7,malate,0.005849504992428434,0.10979942568510855,Sedentary,0.05327445891387543,quad
37,8,malate,0.004548977889594569,0.06888971763403963,Exercise,0.06603275562486612,quad
38,9,malate,0.002377740616809126,0.07486253314563235,Sedentary,0.0317614234637724,quad
39,10,malate,0.005716642631990591,0.06796373840095314,Exercise,0.0841131280663987,quad
40,11,malate,0.00945296917178792,0.09491749002750353,Sedentary,0.09959143640491129,quad
41,12,malate,0.003960517113071693,0.12044116634955242,Exercise,0.032883417133118875,quad
42,13,malate,0.007264454010030265,0.11075127173367383,Sedentary,0.0655925110051943,quad
43,14,malate,0.0033831136670294,0.09901828859596734,Exercise,0.03416655362358163,quad
44,15,malate,0.0066360064941810085,0.09203006205264677,Sedentary,0.07210694360267637,quad
45,1,proline,0.00042833909868170985,0.10346535695772785,Exercise,0.004139927713743968,quad
46,2,proline,0.0002802938880092935,0.07938803593591716,Sedentary,0.003530681729367252,quad
47,3,proline,0.00027965503860217497,0.1294206661597859,Exercise,0.002160822122928235,quad
48,4,proline,0.0003294338203325273,0.07726959114141162,Exercise,0.0042634342367572275,quad
49,5,proline,0.0003682825295415736,0.06733278000347986,Sedentary,0.005469587465756503,quad
50,6,proline,0.00031063420049546426,0.07230068379896054,Exercise,0.004296421336196688,quad
51,7,proline,0.00016497963216889535,0.10979942568510855,Sedentary,0.0015025546002584472,quad
52,8,proline,0.00037664242333540466,0.06888971763403963,Exercise,0.005467324243310571,quad
53,9,proline,0.0003475563714916652,0.07486253314563235,Sedentary,0.00464259432439393,quad
54,10,proline,0.0001479238730778937,0.06796373840095314,Exercise,0.002176511718722924,quad
55,11,proline,0.00044654192587747924,0.09491749002750353,Sedentary,0.004704527329453066,quad
56,12,proline,0.0001863062708458746,0.12044116634955242,Exercise,0.00154686538243215,quad
57,13,proline,0.0006789029695786083,0.11075127173367383,Sedentary,0.006129978996640166,quad
58,14,proline,0.000419064215885734,0.09901828859596734,Exercise,0.004232190051230607,quad
59,15,proline,0.00039383214367041486,0.09203006205264677,Sedentary,0.004279385832046044,quad
60,1,succinate,0.0077510450593487705,0.10346535695772785,Exercise,0.07491439924684708,quad
61,2,succinate,0.00604087271897558,0.07938803593591716,Sedentary,0.07609298615035437,quad
62,3,succinate,0.007366330596770204,0.1294206661597859,Exercise,0.056917730493486675,quad
63,4,succinate,0.008191581474190307,0.07726959114141162,Exercise,0.10601300399271993,quad
64,5,succinate,0.007407729461113925,0.06733278000347986,Sedentary,0.11001668816780003,quad
65,6,succinate,0.006900283740616648,0.07230068379896054,Exercise,0.0954387064969343,quad
66,7,succinate,0.00944935707072831,0.10979942568510855,Sedentary,0.08606016845505114,quad
67,8,succinate,0.0037743414009600088,0.06888971763403963,Exercise,0.05478816767707348,quad
68,9,succinate,0.005048005701931112,0.07486253314563235,Sedentary,0.06743033517328453,quad
69,10,succinate,0.007818095133494442,0.06796373840095314,Exercise,0.1150333297937713,quad
70,11,succinate,0.01016905015501791,0.09491749002750353,Sedentary,0.10713568334003881,quad
71,12,succinate,0.003761820880290311,0.12044116634955242,Exercise,0.031233680263212518,quad
72,13,succinate,0.009022383373443204,0.11075127173367383,Sedentary,0.08146528010206094,quad
73,14,succinate,0.005041906434842869,0.09901828859596734,Exercise,0.05091894140299459,quad
74,15,succinate,0.013485612123561704,0.09203006205264677,Sedentary,0.14653485853184708,quad
0,1,a-ketoglutarate,0.044304833686499415,0.10346535695772785,Exercise,0.428209354215061,tumor
1,2,a-ketoglutarate,0.028870750683839118,0.07938803593591716,Sedentary,0.3636662671330462,tumor
2,3,a-ketoglutarate,0.0411793000742641,0.1294206661597859,Exercise,0.31818179658744095,tumor
3,4,a-ketoglutarate,0.02331113727290062,0.07726959114141162,Exercise,0.3016857851653278,tumor
4,5,a-ketoglutarate,0.0387295840295222,0.06733278000347986,Sedentary,0.5751965688557727,tumor
5,6,a-ketoglutarate,0.03046211063297084,0.07230068379896054,Exercise,0.4213253462121307,tumor
